#separator:Comma
#html:false
#columns:Front,Back,Tags
#tags column:3
"Explain self-attention in one sentence.","Each token's query is compared (dot product) to every key to get softmax weights, then takes that weighted sum of values — a content-based mixture of all positions.",stage1 fundamentals
"Why do transformers need positional encodings at all?","Attention is permutation-equivariant (a sum over a set), so without position info word order is invisible; encodings inject order.",stage1 fundamentals
"Encoder-only vs decoder-only vs encoder-decoder?","Encoder-only (BERT) bidirectional, understanding/embeddings; decoder-only (GPT) causal, generation; encoder-decoder (T5) seq-to-seq like translation.",stage1 fundamentals
"What does causal masking do, and where?","Sets future-position scores to -inf before softmax so token t attends only to <=t; applied on the T x T score matrix in each decoder self-attention.",stage1 fundamentals
"Why multiple attention heads instead of one big head?","One softmax expresses one relationship per token; multiple heads attend to different things in different subspaces at once.",stage1 fundamentals
"Job of the feed-forward (MLP) sub-layer?","Attention moves information between positions; the MLP processes it per-token and holds most of the model's knowledge/computation.",stage1 fundamentals
"Why a residual connection around each sub-layer?","Gives gradients an identity path to every layer and lets each sub-layer learn a delta to the running representation — the residual stream.",stage1 fundamentals
"LayerNorm vs BatchNorm — why LayerNorm?","LayerNorm normalizes per-token across features, independent of batch/length — works with variable length and single-token decoding.",stage1 fundamentals
"What is BPE and why byte-level?","Greedily merges frequent adjacent symbol pairs into subwords; byte-level base means any Unicode string is representable with no UNK.",stage1 fundamentals
"Time and memory complexity of self-attention in T?","Compute O(T^2 d); memory O(T^2) for the score matrix — quadratic in sequence length.",stage1 fundamentals
"Tensor shapes from token ids to logits?","ids (B,T) -> embed (B,T,d) -> per block QKV (B,h,T,dk), scores (B,h,T,T), out (B,T,d) -> final LN -> logits (B,T,V).",stage1 core
"Why divide attention scores by sqrt(d_k)?","q.k of d_k unit-variance terms has variance d_k (std sqrt(d_k)); dividing keeps logits O(1) so softmax isn't saturated and gradients survive.",stage1 core math
"Pre-norm vs post-norm — which and why?","Modern LLMs use pre-norm (x + Sublayer(LN(x))) — clean identity residual so gradients reach depth; post-norm needs careful warmup.",stage1 core
"Absolute vs learned vs RoPE vs ALiBi — why RoPE won?","RoPE encodes relative position in the QK dot product, adds no params, and extends to longer context (interpolation/YaRN).",stage1 core
"Why tie input embedding and output projection?","Both are d x V maps between token and model space; tying saves ~Vd params, regularizes, and improves perplexity.",stage1 core
"Explain the residual-stream mental model.","A per-token width-d bus; each sub-layer reads via LN, computes, and writes back by addition; blocks communicate through what they write.",stage1 core
"GELU vs ReLU vs SwiGLU?","ReLU hard gate; GELU smooth probabilistic gate; SwiGLU gated unit (Swish(xW) elementwise xV) — better quality/param, used in Llama/PaLM.",stage1 core
"Where do most params live: attention or MLP?","The MLP: 8 d^2 per block vs attention 4 d^2 — about two-thirds of block params.",stage1 core
"Why is attention permutation-invariant without positions?","Output for token i is a sum over j of softmax(qi.kj) vj; permuting keys/values permutes summands but not the sum.",stage1 core
"How does the KV cache change attention at inference vs training?","Training attends over the whole sequence in parallel; decoding caches past K/V so each step attends the new query over the cache — O(T) not O(T^2).",stage1 core
"Derive the sqrt(d) scaling.","Sum of d_k independent zero-mean unit-variance products has variance d_k; dividing by sqrt(d_k) rescales variance to 1, keeping softmax gradients healthy.",stage1 senior math
"128K-token context: what breaks and options?","O(T^2) compute + linear KV growth + lost-in-middle + out-of-range positions; use FlashAttention, sparse/sliding, GQA/MQA, RoPE interpolation, retrieval.",stage1 senior
"Design an attention variant to shrink the KV cache.","Reduce KV heads: MHA (full) -> GQA (grouped, near-MHA quality) -> MQA (one head, max savings, quality drop); GQA is the default.",stage1 senior
"Why is post-norm unstable at depth; what does pre-norm do?","Post-norm renormalizes the residual path, shrinking gradients to early layers; pre-norm leaves an identity highway so gradients reach depth.",stage1 senior
"Softmax numerical stability — the max trick.","Subtract max(x) before exp: shift-invariant, prevents fp16 overflow (max~65504), largest exponent becomes 1; FlashAttention does this streaming.",stage1 senior math
"Many dumb failures trace to one choice — which?","Tokenization: the token (not the character) is the atom — hence bad spelling, digit arithmetic, and whitespace/glitch tokens.",stage1 senior
"Redesign attention for streaming / infinite generation.","Sliding window over the last W tokens plus attention sinks (keep first few tokens) and cache eviction — O(W) memory (StreamingLLM).",stage1 senior
"CNN/RNN vs transformer inductive biases — why transformers scaled?","CNN/RNN bake in strong priors (locality, recurrence) that cap capacity and (RNN) block parallelism; transformers' weak prior + full parallelism scale better.",stage1 senior
"Write the full attention equation with shapes.","softmax(QK^T/sqrt(dk) + M) V; Q,K,V are (T,dk), QK^T and M are (T,T), softmax over keys, output (T,dk).",stage1 math
"Show a block has ~12 d^2 params; where is the 8 d^2?","Attention 4 d^2 (Q,K,V,O); MLP up d x 4d + down 4d x d = 8 d^2; total 12 d^2 per block.",stage1 math
"Justify forward ~2N FLOPs per token.","Each parameter does one multiply-add (2 FLOPs) per token; with N params that's ~2N; backward ~2x so training ~6N.",stage1 math
"Gradient of softmax cross-entropy wrt logits?","softmax(z) - onehot(y) — the softmax Jacobian telescopes against cross-entropy to give predicted minus target.",stage1 math
"Derive O(T^2 d) attention cost; which matmul dominates at long T?","QK^T and score.V are each T^2 dk; projections are T d^2; the T^2 d attention term dominates once T > d.",stage1 math
"Implement scaled dot-product attention with a causal mask.","scores = Q K^T / sqrt(dk); masked_fill future with -inf using a lower-triangular mask; softmax over keys; multiply by V.",stage1 coding
"Reshape (B,T,C) to (B,h,T,dk) and back.","view(B,T,h,C/h).transpose(1,2) to split; transpose back then .contiguous().view(B,T,C) to merge (contiguous needed after transpose).",stage1 coding
"Implement one BPE merge step.","get_stats: count adjacent pairs; pick the most frequent; merge: scan and replace that pair with a new id, minting it in the vocab.",stage1 coding
"Implement a KV cache for single-token decoding.","Keep per-layer K,V; each step project only the new token, concat to cache along the time axis, attend the new query over the full cache.",stage1 coding
"Implement RoPE and apply to Q and K.","Build per-position angles theta = base^(-2i/d); rotate even/odd dims by (cos,sin) and apply to Q and K before the dot product.",stage1 coding
"Vectorize a naive triple-nested attention loop.","Replace i,j loops with scores = Q K^T / sqrt(dk), one softmax(dim=-1), then scores @ V; batch and head are leading axes.",stage1 coding
"Design a tokenizer for NL + code + multilingual.","Byte-level BPE (no UNK), vocab ~50-130k tuned by fertility across languages, preserve whitespace/indentation, split digits, cover code tokens.",stage1 design
"Architecture for long legal docs under a latency budget.","RoPE+interpolation or ALiBi, GQA for KV, FlashAttention, possibly sliding-window+global; deeper-over-wider within SLA; consider retrieval over full context.",stage1 design
"Loss near zero but generation is gibberish — cause?","Causal-mask leak: the model sees future tokens during teacher-forced training (trivial loss) but has none at inference.",stage1 debug
"Loss becomes NaN after a few hundred steps — suspects?","No/short LR warmup, LR too high, fp16 overflow (use bf16), missing grad clip, bad init, or a corrupt batch.",stage1 debug
"Model insensitive to word order — where to look?","Positional info missing or wrong — embeddings not added, wrong axis, zeroed, or RoPE not applied to Q/K.",stage1 debug
"Generations loop and repeat — diagnose.","Decoding: greedy/low-temp loops -> use sampling, repetition/no-repeat-ngram penalties; training: undertrained or degenerate data.",stage1 debug
"Val loss much worse than train within epoch 1 — suspicious?","Not classic overfitting yet; suspect train/val mismatch or leakage, preprocessing/tokenization difference, bad val set, or dropout/eval-mode bug.",stage1 debug
"What objective is a base LLM trained on?","Self-supervised next-token prediction: minimize cross-entropy of the true next token given previous tokens.",stage2 fundamentals
"What is perplexity, intuitively?","e^(cross-entropy); the effective branching factor — average number of equally-likely next tokens the model is choosing among.",stage2 fundamentals
"Three levers of pretraining outcome?","Parameters N, data D, and compute C, tied by C ~ 6ND (data quality/mixture is the decisive fourth).",stage2 fundamentals
"What is gradient accumulation and why?","Sum gradients over k micro-batches and step once — simulates a k-times larger batch without its memory.",stage2 fundamentals
"Why warm up the learning rate?","Early params and Adam moments are uninformative; ramping LR from 0 avoids early blow-up before cosine decay.",stage2 fundamentals
"What does gradient clipping protect against?","Occasional exploding gradients — clipping the global norm bounds the step and prevents loss spikes/NaNs.",stage2 fundamentals
"What is mixed-precision training?","Heavy matmuls in bf16/fp16 for speed, with an fp32 master copy and fp32-sensitive ops (loss, optimizer) for stability.",stage2 fundamentals
"What does deduplication buy you?","Less wasted capacity memorizing duplicates, less contamination/regurgitation, and more effective diversity per token.",stage2 fundamentals
"Data parallelism in one sentence?","Replicate the model on each device, split the batch, and all-reduce gradients so every replica applies the same update.",stage2 fundamentals
"Why is data quality often more important than architecture?","Above a competent baseline, architecture gains are small while bad/duplicated data directly caps achievable loss and downstream quality.",stage2 fundamentals
"State the Chinchilla result; GPT-3's mistake?","Scale N and D together (~20 tokens/param); GPT-3 (175B, 300B tokens) was badly under-trained vs a smaller model on more tokens.",stage2 core
"Use C ~ 6ND to explain the relationship.","~6 FLOPs/param/token; at fixed C, raising N forces lowering D and vice versa — the tradeoff scaling laws optimize.",stage2 core
"Why bf16 over fp16 for stability?","bf16 keeps fp32's 8-bit exponent (huge range), rarely overflows, needs no loss scaling; fp16's 5 exponent bits overflow easily.",stage2 core
"Four GPU memory components in training?","Parameters, gradients, optimizer state (fp32 master + m + v), and activations.",stage2 core
"Data vs tensor vs pipeline parallelism comms?","DP: all-reduce gradients once/step; TP: all-reduce activations every layer (intra-node); PP: point-to-point between stages plus a bubble.",stage2 core
"What does gradient checkpointing trade?","Discards activations in forward and recomputes in backward — ~33% more compute for large activation-memory savings.",stage2 core
"Why is AdamW's optimizer state memory-hungry?","Per param it stores fp32 master + m + v = 12 bytes — 6x the 2-byte bf16 weight, dominating training memory.",stage2 core
"What is a data mixture and why tuned?","Weighted blend of sources (web, code, math, multilingual); ratios trade off capabilities, so they're tuned like hyperparameters.",stage2 core
"Benchmark contamination at pretraining — why it matters?","Eval text leaking into training means memorized answers, inflating scores and invalidating comparisons; decontaminate first.",stage2 core
"Kaplan vs Chinchilla scaling laws?","Kaplan over-weighted model size (giant under-trained models); Chinchilla fixed methodology — grow N and D equally (~20 tok/param).",stage2 core
"Fixed compute C: choose N and D.","Chinchilla D ~ 20N gives C ~ 120 N^2 so N ~ sqrt(C/120); but over-train a smaller model if serving cost dominates.",stage2 senior math
"VRAM to full-fine-tune a 7B in bf16 + AdamW?","params 14 + grads 14 + optimizer 84 = ~112 GB before activations; motivates ZeRO/FSDP/PEFT.",stage2 senior math
"Explain ZeRO stages 1/2/3.","Stage 1 shards optimizer state; stage 2 also gradients; stage 3 (~FSDP) also parameters, all-gathered just-in-time.",stage2 senior
"Parallelism to train 70B on N x 8 x A100?","TP within a node (NVLink), PP across nodes (point-to-point, mind the bubble), DP/ZeRO across replicas; checkpoint activations.",stage2 senior
"Intermittent loss spikes on a long run — diagnose/recover.","Suspect bad data shard, high LR/short warmup, fp16 overflow, loose clipping; log grad-norm, clip, skip the batch, roll back to a checkpoint.",stage2 senior
"Why train past Chinchilla-optimal?","Inference economics — a smaller over-trained model is cheaper/faster to serve, and serving cost dwarfs training at scale.",stage2 senior
"Pretraining data pipeline from raw crawl — stages?","Extract text, language ID, quality filter, dedup (MinHash), decontaminate, PII handling, mixture weighting, tokenize, shard.",stage2 senior
"Detect and prevent eval contamination?","N-gram/MinHash overlap of benchmarks vs corpus, remove hits, hold out fresh sets, seed canaries, and report overlap.",stage2 senior
"Four AdamW mixed-precision memory terms (bytes/param)?","weights 2 + grads 2 + optimizer 12 (fp32 master 4 + m 4 + v 4) = 16 bytes/param.",stage2 math
"Why the factor ~6 in C ~ 6ND?","Forward ~2 FLOPs/param/token (multiply-add); backward ~4 (grads wrt inputs and weights); total ~6.",stage2 math
"Largest Chinchilla-optimal model on 256 A100 for 1 week?","~1.9e22 FLOPs at ~40% MFU; N ~ sqrt(C/120) ~ 10-13B params on ~250B tokens (order of magnitude ~10B).",stage2 math
"Perplexity vs cross-entropy; PPL 20 operationally?","PPL = e^L; PPL 20 means average per-token loss ln(20) ~ 3.0 nats — as uncertain as choosing among 20 tokens.",stage2 math
"Write a VRAM estimator (inputs to breakdown).","params N x dtype + grads N x dtype + optimizer N x opt_bytes + activations ~ batch x seq x layers x d x const; sum in GB.",stage2 coding
"Implement gradient accumulation correctly.","Divide loss by ACCUM_STEPS, backward each micro-batch, and step+zero_grad every ACCUM_STEPS (so summed grads equal the mean).",stage2 coding
"Add bf16 autocast + clip + cosine-with-warmup.","autocast(bf16) around forward; clip_grad_norm_ to 1.0; LambdaLR linear warmup then cosine decay; bf16 needs no GradScaler.",stage2 coding
"Implement a streaming sharded data loader.","IterableDataset that memory-maps one shard at a time and shards files per worker, so the full corpus never sits in RAM.",stage2 coding
"Wrap a model in FSDP / ZeRO — key flags.","FULL_SHARD (=ZeRO-3), mixed_precision bf16, auto_wrap_policy per transformer block, limit_all_gathers, use_orig_params.",stage2 coding
"Design training infra for a 13B model.","Offline data pipeline, FSDP + bf16 + checkpointing, sharded async checkpoints with exact-resume state, auto-restart, monitoring (loss/grad/MFU), cost tracking.",stage2 design
"Make a 3-week run resilient to spot preemptions.","Frequent async checkpoints (incl. dataloader/optimizer/RNG), elastic launcher that re-forms the group, redundant pool, idempotent atomic writes.",stage2 design
"Cut training cost 40% with minimal quality loss — order?","Raise MFU first (loader, FlashAttention, batch), then bf16+checkpointing, better data, correct sizing/mild under-train, spot instances.",stage2 design
"Throughput far below the GPU roofline — where to look?","Data-loader stalls, tiny batch, no fused/Flash kernels, comms-bound parallelism, recompute overhead — generally low MFU; profile.",stage2 debug
"Model memorizes/regurgitates training data — cause/fix?","Insufficient dedup and too many epochs over duplicates; fix with stronger dedup, fewer epochs, filtering, and DP for sensitive data.",stage2 debug
"Multi-node run 3x slower than expected — diagnose.","Interconnect-bound: TP placed across nodes (needs NVLink), DP all-reduce not overlapped, or wrong rank-to-GPU placement.",stage2 debug
"Loss plateaus far above expected — suspects?","LR too low/decayed too fast, model under-capacity, data quality/mixture, over-regularization, or a tokenization bug; compare to scaling-law prediction.",stage2 debug
"Base model vs instruct model?","Base completes text and follows instructions poorly; instruct is further trained (SFT + alignment) to follow instructions in an assistant style.",stage3 fundamentals
"What is supervised fine-tuning (SFT)?","Continue training on curated (prompt -> ideal response) pairs with next-token loss computed only on the response.",stage3 fundamentals
"Why mask prompt tokens in the SFT loss?","So the model learns to generate the response, not predict the user's prompt — prevents parroting.",stage3 fundamentals
"What is LoRA in one sentence?","Freeze pretrained weights and learn a low-rank update dW = BA added to chosen matrices, training under 1% of params.",stage3 fundamentals
"What problem does QLoRA solve?","Fine-tuning very large models on a single GPU by 4-bit quantizing the frozen base and training small bf16 adapters on top.",stage3 fundamentals
"What is RLHF at a high level?","SFT, then train a reward model from human preferences, then optimize the policy (PPO) to maximize reward with a KL penalty.",stage3 fundamentals
"What is a reward model?","A model (LLM + scalar head) mapping (prompt, response) to a quality score, trained on human preference pairs.",stage3 fundamentals
"What is DPO and why popular?","Direct Preference Optimization trains the policy directly on preference pairs with a simple loss — no separate RM or RL loop; simpler and stable.",stage3 fundamentals
"What is catastrophic forgetting?","Fine-tuning on narrow data overwrites broad pretrained capabilities; mitigated by PEFT, low LR, fewer epochs, and replay.",stage3 fundamentals
"What is a chat template and why does it matter?","The exact role/special-token format the model was trained on; a mismatch at inference silently degrades or garbles outputs.",stage3 fundamentals
"LoRA decomposition dW = BA — which train, which freeze?","h = W0 x + (alpha/r) B A x; A and B train (A random, B zero-init), W0 stays frozen.",stage3 core
"Three-stage RLHF pipeline?","SFT on demonstrations; reward modeling from preferences (Bradley-Terry); PPO to maximize reward minus KL to the SFT reference.",stage3 core
"Role of the KL penalty in RLHF/PPO?","Anchors the policy to the reference; without it the policy drifts off-distribution and reward-hacks the imperfect RM.",stage3 core
"QLoRA's three tricks?","NF4 4-bit quantization (optimal for normal weights), double quantization (quantize the constants), paged optimizers (page state to CPU).",stage3 core
"How does DPO avoid RM + RL?","It uses the closed-form RLHF optimum: implicit reward = beta log(pi/pi_ref); substitute into Bradley-Terry to get a direct loss on logprobs.",stage3 core math
"When choose full fine-tuning over PEFT?","Lots of data/compute, deep changes (new language/modality), or maximum quality; PEFT can underfit very large adaptations.",stage3 core
