#separator:Comma
#html:false
#columns:Front,Back,Tags
#tags column:3
"Self-attention in one sentence","Each token's query is compared (dot product) to every key to get softmax weights, then takes that weighted sum of values — a content-based mixture of all positions.",stage1 fundamentals
"Why divide attention scores by sqrt(d_k)?","q.k of d_k unit-variance terms has variance d_k (std sqrt(d_k)); dividing keeps logits O(1) so softmax isn't saturated and gradients don't vanish.",stage1 math
"Self-attention complexity in sequence length","Compute O(T^2 * d); memory O(T^2) for the score matrix — quadratic in T.",stage1 fundamentals
"Parameters per transformer block","~12 d^2: attention 4 d^2 (Q,K,V,O) + MLP 8 d^2 (up d x 4d, down 4d x d).",stage1 math
"Forward FLOPs per token","~2N for an N-parameter model (1 multiply + 1 add per param); backward ~2x, so training ~6N.",stage1 math
"Pre-norm vs post-norm","Modern LLMs use pre-norm: x + Sublayer(LN(x)) keeps a clean identity residual so gradients reach depth; post-norm needs careful warmup.",stage1 core
"Why did RoPE win?","Encodes relative position directly in the QK dot product, adds no parameters, and supports context extension (interpolation/YaRN).",stage1 core
"Where do most transformer params live?","The MLP (8 d^2) vs attention (4 d^2) — about two-thirds of block params and most stored knowledge.",stage1 core
"Purpose of the KV cache","Stores past keys/values so each decode step computes K/V for only the new token — O(T) per step instead of recomputing O(T^2).",stage1 core
"Softmax max-subtraction trick","Subtract max(x) before exp: result is shift-invariant, prevents fp16 overflow, and makes the largest exponent equal 1.",stage1 math
"Gradient of softmax cross-entropy wrt logits","softmax(z) - onehot(y) — simply predicted minus target.",stage1 math
"One design choice behind many dumb failures","Tokenization: the token (not the character) is the atom — hence poor spelling, digit arithmetic, and whitespace/glitch tokens.",stage1 debug
"Chinchilla compute-optimal rule","About 20 tokens per parameter; scale N and D together. GPT-3 was under-trained at ~1.7 tokens/param.",stage2 core
"The C = 6ND relation","~6 FLOPs per parameter per token (2 forward + 4 backward) ties compute, parameters, and tokens.",stage2 math
"AdamW mixed-precision memory per parameter","weights 2 + grads 2 + optimizer 12 (fp32 master 4 + m 4 + v 4) = 16 bytes/param.",stage2 math
"VRAM to full-fine-tune a 7B (bf16+AdamW)","params 14 + grads 14 + optimizer 84 = ~112 GB before activations.",stage2 math
"Why bf16 over fp16 for training","bf16 has fp32's 8-bit exponent — huge range, rarely overflows, no loss scaling; fp16 (5 exponent bits) overflows easily.",stage2 core
"ZeRO stages 1/2/3","Stage 1 shards optimizer state; stage 2 also gradients; stage 3 (≈FSDP) also parameters, gathered on demand.",stage2 core
"Four training memory components","Parameters, gradients, optimizer state, and activations.",stage2 fundamentals
