"Question","Answer","Category"
"Why scale attention scores by 1/√d_k?","Dot-product variance grows with d_k; scaling keeps softmax out of saturation so gradients survive.","Transformers & architecture"
"Self-attention time/space complexity?","O(T²·d) time, O(T²) memory in T.","Transformers & architecture"
"What does FlashAttention optimize?","Memory access — tiles + online softmax, no T×T matrix in HBM; exact, not approximate.","Transformers & architecture"
"MQA vs GQA vs MHA?","MQA = 1 KV head (smallest cache), MHA = KV head per query head, GQA = grouped middle ground.","Transformers & architecture"
"What does GQA shrink?","The KV cache (fewer KV heads) → bigger batch/throughput.","Transformers & architecture"
"RoPE encodes what?","Relative position, by rotating Q/K — extrapolates better than absolute.","Transformers & architecture"
"ALiBi mechanism?","Adds a linear distance penalty to attention scores; good length extrapolation.","Transformers & architecture"
"Params per decoder layer (rule)?","~12·d² (4d² attention + 8d² FFN).","Transformers & architecture"
"FFN inner dimension (typical)?","4·d_model.","Transformers & architecture"
"Pre-norm vs post-norm?","Pre-norm gives a clean residual identity path → stabler deep training; modern default.","Transformers & architecture"
"Why RMSNorm over LayerNorm?","No mean-subtraction/bias → cheaper, ~same quality.","Transformers & architecture"
"SwiGLU is?","A gated GLU FFN activation used in modern LLMs (better than ReLU/GELU at scale).","Transformers & architecture"
"Encoder-only vs decoder-only?","Encoder (BERT) = bidirectional/understanding; decoder (GPT) = causal/generation.","Transformers & architecture"
"Why multiple heads?","Attend in different subspaces (syntax, coreference…) at ~constant total cost.","Transformers & architecture"
"Where is RoPE applied?","To Q and K, before the dot product.","Transformers & architecture"
"Pretraining objective?","Next-token prediction (cross-entropy), self-supervised.","Training & scaling"
"Training FLOPs rule?","C ≈ 6·N·D (params × tokens).","Training & scaling"
"Inference FLOPs/token?","≈ 2·N.","Training & scaling"
"Chinchilla compute-optimal ratio?","~20 tokens per parameter.","Training & scaling"
"Why train past Chinchilla (LLaMA)?","To cut inference cost — smaller model, more tokens.","Training & scaling"
"bf16 vs fp16?","bf16 = fp32 range, fewer mantissa bits, usually no loss scaling; fp16 needs loss scaling.","Training & scaling"
"Why warmup?","Avoid early divergence from large LR on a fresh model.","Training & scaling"
"Gradient clipping fixes?","Loss spikes from occasional huge gradients.","Training & scaling"
"Gradient checkpointing trades?","Recompute activations in backward → less memory, more compute.","Training & scaling"
"AdamW state memory?","Two moments (m,v) in fp32 = 8 bytes/param.","Training & scaling"
"Training memory/param (mixed Adam)?","~16–20 bytes (weights+grads+master+moments).","Training & scaling"
"Emergent abilities caveat?","Often a discontinuous-metric artifact; smooth metrics → smoother curves.","Training & scaling"
"Most important pretraining data lever?","Quality + dedup (and mixture) over raw quantity.","Training & scaling"
"Scaling-law functional form?","Loss falls as a power law in N, D, C.","Training & scaling"
"MFU is?","Model FLOPs Utilization — fraction of peak FLOPs used; ~40–55% is good.","Training & scaling"
"SFT loss-masking rule?","Train only on assistant tokens; mask the prompt.","Fine-tuning & PEFT"
"LoRA update formula?","W' = W + (α/r)·B·A, low-rank, base frozen.","Fine-tuning & PEFT"
"Why can LoRA merge with zero latency?","BA adds into W at inference — no extra ops.","Fine-tuning & PEFT"
"QLoRA key idea?","4-bit (NF4) frozen base + bf16 LoRA adapters → single-GPU big-model fine-tune.","Fine-tuning & PEFT"
"Multi-LoRA serving?","One shared base + many small adapters routed per request.","Fine-tuning & PEFT"
"Typical LoRA trainable %?","Often <1% of params.","Fine-tuning & PEFT"
"Instruction tuning is?","SFT on diverse (instruction, response) pairs to follow tasks.","Fine-tuning & PEFT"
"RLHF stages?","SFT → preference data → reward model → PPO (with KL).","Alignment"
"Reward model loss?","Bradley–Terry: maximize log σ(r_chosen − r_rejected).","Alignment"
"Why the KL penalty in PPO?","Prevent reward hacking / drift from the reference policy.","Alignment"
"DPO removes what?","The separate reward model and the RL loop.","Alignment"
"DPO loss in words?","Logistic loss on the policy-vs-reference log-ratio margin between chosen/rejected.","Alignment"
"DPO vs PPO?","DPO simpler/stabler on fixed data; PPO/online can reach a higher ceiling.","Alignment"
