#separator:Comma
#html:false
#notetype:Basic
#deck:Agentic AI Interview
#columns:Front,Back,Tags
#tags column:3
"What is an AI agent?","An LLM that dynamically decides its own control flow to reach a goal — acting via tools, observing results, and looping until a stop condition. = LLM + loop + tools + memory + goal + stop condition.","fundamentals"
"Agent vs. workflow vs. single LLM call?","Single call = no control flow. Workflow = predefined code paths. Agent = the LLM directs its own process and tool use at runtime.","fundamentals"
"Five components of an agent?","Model/reasoning core, tools/actions, memory, planning/orchestration, control loop/policy.","fundamentals"
"The agent loop (5 steps)?","Perceive -> Reason -> Act -> Observe -> Check (done/error/budget) -> loop or stop.","fundamentals"
"Mandatory stop conditions?","Max steps, token/cost budget, wall-clock timeout, repeated-action detection, explicit terminate/finish tool.","fundamentals"
"Levels of agency (low to high)?","Pure LLM -> tool router -> fixed workflow -> single ReAct agent -> multi-agent -> autonomous self-directed.","fundamentals"
"When NOT to use an agent?","When a prompt/workflow suffices; tight latency/cost; high-cost irreversible errors without guardrails; or you cannot evaluate/observe it.","fundamentals"
"What is scaffolding?","The engineering around the model — loop, output parsing, tool definitions/execution, memory, guardrails — that turns an LLM into an agent.","fundamentals"
"What is grounding?","Connecting the model to real external data/state (e.g., via RAG or tools) so outputs are factual rather than purely parametric.","fundamentals"
"Is more autonomy always better?","No — it trades predictability, evaluability, and safety for capability. Scale autonomy to the cost/reversibility of mistakes.","fundamentals"
"What is context engineering?","Curating exactly the right instructions, memory, tools, and data into the window at the right time, within a token budget. Broader than prompt wording.","fundamentals"
"The senior default for agency?","Use the lowest level of agency that solves the problem; add complexity only when metrics demand it.","fundamentals"
"What is Chain of Thought (CoT)?","Prompting the model to produce intermediate reasoning steps before answering. Helps multi-step problems but has no external feedback, so it can hallucinate a chain.","reasoning"
"What is self-consistency?","Sample N reasoning chains and majority-vote the answer — a cheap reliability boost at N times the token cost.","reasoning"
"What is ReAct and why beat CoT for agents?","Reason+Act loop: thought -> action -> observation -> repeat. Beats CoT because each step is grounded in real observations, so less hallucination, error recovery, and an interpretable trace.","reasoning"
"What is Reflexion?","Agent gets a feedback signal, writes a verbal self-reflection into episodic memory, and uses it to do better next attempt — verbal RL within a session, no weight updates.","reasoning"
"ReAct vs. Plan-and-Execute?","ReAct re-reasons every step (adaptive, costlier). Plan-and-Execute plans once then executes with optional replanning (efficient for long, decomposable tasks; less adaptive).","reasoning"
"What is Tree of Thoughts (ToT)?","Explore a tree of reasoning branches, evaluate intermediate states, and search (BFS/DFS/beam) with backtracking. Powerful but expensive; usually overkill in production.","reasoning"
"What is ReWOO?","Reasoning Without Observation: plan all tool calls up front, then execute, then solve — fewer LLM calls than ReAct (token-efficient) but less adaptive.","reasoning"
"How does prompting change with reasoning models (o-series/R1)?","Do less hand-holding: give the goal, constraints, and tools and let the model plan internally. Over-specified step-by-step CoT can hurt them.","reasoning"
"Evaluator-optimizer pattern?","One LLM generates, a second critiques against a rubric, generator revises — loop until approved or budget hit. Use when there is a clear eval signal and iteration helps.","reasoning"
"When is reflection NOT worth it?","When there is no reliable success signal (you reinforce noise), when latency/cost is tight, or on simple tasks. Always cap rounds.","reasoning"
"Short-term vs. long-term memory?","Short-term = the context window (recent turns, scratchpad). Long-term = external stores (vector/SQL/KV/graph) persisting across sessions.","memory"
"Episodic vs. semantic vs. procedural memory?","Episodic = past experiences/trajectories. Semantic = facts/user profile/knowledge. Procedural = how-to skills, prompts, routines.","memory"
"How to manage an overflowing context window?","Rolling summarization/compaction, sliding window, retrieve-don't-stuff, offload artifacts to external memory, split across sub-agents, token-budget eviction.","memory"
"RAG pipeline steps?","Ingest: chunk -> embed -> index. Query: embed query -> retrieve top-k -> rerank -> augment prompt -> generate grounded answer with citations.","memory"
"Key RAG quality knobs?","Chunking, embeddings, hybrid (dense+sparse) retrieval, reranking, query rewriting/HyDE, top-k, metadata filters.","memory"
"Agentic RAG vs. naive RAG?","Agentic RAG makes retrieval a tool the agent decides whether/what/where to use and can iterate on. Naive RAG is a fixed one-shot retrieve-then-generate pipeline.","memory"
"What is 'lost in the middle'?","LLMs attend most to info at the start and end of a long context and underweight the middle. Put critical content at the edges.","memory"
"Four context failure modes?","Poisoning (bad info stored/reused), distraction (irrelevant overload), confusion (conflicting/duplicate), clash (new info contradicts existing).","memory"
"How to evaluate RAG?","Separately: retrieval (context precision/recall) and generation (faithfulness/groundedness, answer relevance). E.g., RAGAS.","memory"
"Knowledge graph vs. vector DB?","Vector DB for semantic similarity; knowledge graph for entities/relationships and multi-hop reasoning (GraphRAG). Often combined.","memory"
"How does function calling work? Who executes?","Model emits a structured tool_call (name + JSON args); YOUR code executes it and returns the result as a tool message; model continues. The model never runs code itself.","tools"
"Principles of good tool design?","Clear name/description, narrow scope, typed schema (enums), useful returns, idempotency/safety, few non-overlapping tools, errors as actionable feedback, token-aware outputs.","tools"
"How to handle tool errors for recovery?","Return actionable error messages, validate args, retries/backoff, idempotency keys, timeouts, circuit breakers, graceful degradation/HITL.","tools"
"What is MCP and what problem does it solve?","Model Context Protocol — an open standard to connect tools/data/prompts to models (USB-C for AI), turning N×M integrations into N+M.","tools"
"MCP's three primitives?","Tools (model-callable actions), resources (readable data/context), prompts (reusable templates).","tools"
"MCP architecture roles?","Host (the AI app) contains client(s) with 1:1 connections to server(s) that expose capabilities. Transports: stdio (local), HTTP/SSE (remote).","tools"
"Computer-use agents — when and risks?","Use when no API exists (GUIs/legacy/web). Screenshot -> action loop. Risks: slow, brittle, expensive (vision), big security exposure -> sandbox + HITL.","tools"
"What is CodeAct (code-as-action)?","Agent emits code that calls tools (composing several per step) instead of single JSON calls. More expressive; must run in a sandbox.","tools"
"Why not dump big tool outputs into context?","Token cost, attention distraction, and overflow. Instead summarize/paginate or return a handle/ID.","tools"
"Why are parallel tool calls useful?","Independent reads/actions run concurrently, cutting latency for I/O-bound calls. Only works when calls are truly independent.","tools"
"Single agent vs. multi-agent — how to decide?","By coupling and context pressure. Single for tightly coupled work (avoid fragmentation). Multi for independent/parallel subtasks, isolated context, or specialization. Mind the token-cost multiplier.","multiagent"
"Orchestrator-worker topology?","A lead agent decomposes the task, delegates subtasks to specialist workers (often parallel), and synthesizes results. Most common production pattern.","multiagent"
"Hierarchical topology?","Orchestrator-worker nested into a tree — supervisors of supervisors — for large, complex tasks.","multiagent"
